Data from: http://www.usclimatedata.com/climate/sitka/alaska/united-states/usak0224,"accessed March 30, 2017",,,,,
20 aug,62.1,52.3,3.86,40.43,0,23.31
21 aug,62,52.2,4.09,40.71,0,23.31
22 aug,61.9,52.1,4.33,40.94,0,23.31
23 aug,61.8,52,4.61,41.18,0,23.31
24 aug,61.8,51.9,4.84,41.46,0,23.31
25 aug,61.7,51.7,5.12,41.73,0,23.31
26 aug,61.5,51.6,5.39,42.01,0,23.31
27 aug,61.4,51.4,5.67,42.28,0,23.31
28 aug,61.3,51.3,5.98,42.6,0,23.31
29 aug,61.2,51.2,6.26,42.87,0,23.31
30 aug,61,51,6.57,43.19,0,23.31
31 aug,60.9,50.9,6.85,43.46,0,23.31
1 sep,60.7,50.7,0.31,43.82,0,23.31
2 sep,60.6,50.5,0.63,44.09,0,23.31
3 sep,60.4,50.4,0.94,44.45,0,23.31
4 sep,60.2,50.2,1.3,44.76,0,23.31
5 sep,60,50.1,1.61,45.12,0,23.31
6 sep,59.8,49.9,1.97,45.43,0,23.31
7 sep,59.7,49.7,2.32,45.79,0,23.31
8 sep,59.5,49.6,2.68,46.14,0,23.31
9 sep,59.3,49.4,3.03,46.54,0,23.31
10 sep,59.1,49.2,3.43,46.93,0,23.31
11 sep,58.8,49.1,3.82,47.28,0,23.31
12 sep,58.6,48.9,4.21,47.68,0,23.31
13 sep,58.4,48.7,4.61,48.07,0,23.31
14 sep,58.2,48.5,4.96,48.46,0,23.31
15 sep,58,48.4,5.39,48.86,0,23.31
16 sep,57.8,48.2,5.79,49.25,0,23.31
17 sep,57.6,48,6.18,49.65,0,23.31
18 sep,57.3,47.8,6.57,50.08,0,23.31
19 sep,57.1,47.6,6.97,50.47,0,23.31
20 sep,56.9,47.4,7.4,50.87,0,23.31
21 sep,56.7,47.3,7.83,51.3,0,23.31
22 sep,56.4,47.1,8.27,51.73,0,23.31
23 sep,56.2,46.9,8.66,52.17,0,23.31
24 sep,56,46.7,9.13,52.6,0,23.31
25 sep,55.7,46.5,9.53,53.03,0,23.31
26 sep,55.5,46.3,9.96,53.46,0,23.31
27 sep,55.3,46.1,10.39,53.9,0,23.31
28 sep,55,45.9,10.87,54.33,0,23.31
29 sep,54.8,45.7,11.3,54.76,0,23.31
30 sep,54.5,45.4,11.73,55.24,0,23.31
1 oct,54.3,45.2,0.43,55.67,0,23.31
2 oct,54.1,45,0.91,56.1,0,23.31
3 oct,53.8,44.8,1.34,56.57,0,23.31
4 oct,53.6,44.6,1.77,57.01,0,23.31
5 oct,53.3,44.3,2.24,57.48,0,23.31
6 oct,53.1,44.1,2.68,57.91,0,23.31
7 oct,52.8,43.9,3.11,58.35,0,23.31
8 oct,52.6,43.6,3.54,58.78,0,23.31
9 oct,52.3,43.4,3.98,59.21,0,23.31
10 oct,52.1,43.1,4.41,59.65,0,23.31
11 oct,51.8,42.9,4.84,60.08,0,23.31
12 oct,51.6,42.6,5.31,60.51,0,23.31
13 oct,51.3,42.4,5.75,60.98,0,23.31
14 oct,51,42.1,6.18,61.42,0,23.31
15 oct,50.8,41.9,6.61,61.85,0,23.31
16 oct,50.5,41.6,7.05,62.28,0.12,23.39
17 oct,50.3,41.4,7.44,62.68,0.12,23.39
18 oct,50,41.1,7.87,63.11,0.12,23.39
19 oct,49.7,40.9,8.31,63.54,0.12,23.39
20 oct,49.5,40.6,8.7,63.94,0.12,23.39
21 oct,49.2,40.3,9.13,64.33,0.12,23.39
22 oct,48.9,40.1,9.53,64.76,0.12,23.39
23 oct,48.7,39.8,9.92,65.16,0.12,23.39
24 oct,48.4,39.6,10.31,65.55,0.12,23.39
25 oct,48.2,39.3,10.71,65.94,0.12,23.39
26 oct,47.9,39.1,11.06,66.3,0.2,23.5
27 oct,47.6,38.8,11.46,66.69,0.2,23.5
28 oct,47.4,38.6,11.81,67.05,0.2,23.5
29 oct,47.1,38.4,12.2,67.44,0.2,23.5
30 oct,46.9,38.1,12.6,67.8,0.31,23.58
31 oct,46.6,37.9,12.95,68.19,0.31,23.58
1 nov,46.4,37.7,0.35,68.54,0.12,23.7
2 nov,46.2,37.4,0.71,68.9,0.2,23.82
3 nov,45.9,37.2,1.06,69.25,0.2,23.82
4 nov,45.7,37,1.42,69.61,0.31,23.9
5 nov,45.5,36.8,1.77,69.92,0.39,24.02
6 nov,45.2,36.6,2.09,70.28,0.51,24.09
7 nov,45,36.4,2.44,70.59,0.59,24.21
8 nov,44.8,36.2,2.76,70.94,0.71,24.29
9 nov,44.6,36,3.07,71.26,0.79,24.41
10 nov,44.4,35.8,3.43,71.57,0.91,24.49
11 nov,44.2,35.7,3.74,71.93,1.1,24.69
12 nov,44.1,35.5,4.06,72.24,1.18,24.8
13 nov,43.9,35.3,4.41,72.6,1.42,25
14 nov,43.7,35.2,4.72,72.91,1.5,25.12
15 nov,43.5,35,5.04,73.23,1.69,25.31
16 nov,43.4,34.9,5.39,73.54,1.89,25.51
17 nov,43.2,34.8,5.71,73.86,2.09,25.71
18 nov,43.1,34.6,6.02,74.17,2.28,25.91
19 nov,43,34.5,6.34,74.49,2.52,26.1
20 nov,42.8,34.4,6.61,74.8,2.72,26.3
21 nov,42.7,34.3,6.97,75.12,2.91,26.5
22 nov,42.6,34.2,7.28,75.43,3.11,26.69
23 nov,42.5,34.1,7.6,75.79,3.31,26.89
24 nov,42.4,34,7.91,76.1,3.5,27.09
25 nov,42.3,33.9,8.23,76.42,3.7,27.28
26 nov,42.2,33.8,8.54,76.73,3.9,27.52
27 nov,42.1,33.8,8.86,77.05,4.09,27.72
28 nov,42,33.7,9.17,77.36,4.29,27.91
29 nov,41.9,33.6,9.49,77.68,4.49,28.11
30 nov,41.8,33.5,9.76,77.95,4.69,28.31
1 dec,41.8,33.5,0.31,78.27,0.12,28.39
2 dec,41.7,33.4,0.59,78.58,0.31,28.58
3 dec,41.6,33.4,0.91,78.86,0.51,28.82
4 dec,41.6,33.3,1.22,79.17,0.59,28.9
5 dec,41.5,33.3,1.54,79.49,0.71,29.02
6 dec,41.4,33.2,1.81,79.8,0.91,29.21
7 dec,41.4,33.2,2.13,80.12,1.1,29.41
8 dec,41.3,33.1,2.44,80.39,1.18,29.49
9 dec,41.3,33.1,2.72,80.71,1.42,29.69
10 dec,41.2,33.1,3.03,80.98,1.5,29.8
11 dec,41.2,33,3.35,81.3,1.61,29.88
12 dec,41.1,33,3.62,81.57,1.81,30.12
13 dec,41.1,33,3.94,81.89,1.89,30.2
14 dec,41,32.9,4.21,82.17,2.01,30.31
15 dec,41,32.9,4.49,82.44,2.09,30.39
16 dec,41,32.9,4.8,82.76,2.2,30.51
17 dec,40.9,32.8,5.08,83.03,2.28,30.59
18 dec,40.9,32.8,5.35,83.31,2.4,30.71
19 dec,40.8,32.8,5.63,83.58,2.52,30.79
20 dec,40.8,32.7,5.91,83.86,2.6,30.91
21 dec,40.8,32.7,6.18,84.13,2.72,30.98
22 dec,40.7,32.7,6.46,84.41,2.8,31.1
23 dec,40.7,32.7,6.69,84.69,2.91,31.18
24 dec,40.6,32.6,7.01,84.96,2.99,31.3
25 dec,40.6,32.6,7.24,85.24,3.11,31.42
26 dec,40.6,32.6,7.52,85.47,3.31,31.61
27 dec,40.5,32.6,7.8,85.75,3.39,31.69
28 dec,40.5,32.5,8.03,86.02,3.5,31.81
29 dec,40.5,32.5,8.31,86.26,3.7,32.01
30 dec,40.5,32.5,8.58,86.54,3.82,32.09
31 dec,40.4,32.5,8.86,86.81,4.02,32.28
